Region and State;Total;Inter-governmental;total.1;elementary and secondary education;Higher education;Public Welfare;Health and Hospitals;Highways;Police;all other;Exhibit personal Income (millions);year
United States ;0,18009334;0,00017276;0,17992057;0,03871096;0,01679165;0,04010904;0,0173506;0,01092349;0,00663599;0,04939885;18542262;2019
New England;15,624114;0,00198029;15,622133;3,6580232;1,1200819;3,8431611;0,73491215;0,80481596;0,49967422;4,9614649;1035507,3;2019
Connecticut;12,981239;0;12,981239;3,683609;1,1578176;1,4525216;0,9170338;0,76088596;0,45101881;4,558352;275556,8;2019
Maine;18,131603;0;18,131603;4,0696258;1,186977;5,1872179;0,79747555;1,3485096;0,48155222;5,0602447;68062,4;2019
Massachusetts;16,113288;0,00028709;16,113001;3,3100335;1,0087235;4,818604;0,69205667;0,63403097;0,47179816;5,1777542;511333,7;2019
New Hampshire;13,558969;0;13,558969;3,713338;0,99792229;2,8692685;0,27429646;0,89737553;0,55668951;4,2500785;86344,9;2019
Rhode Island;19,670959;0,0318856;19,639074;4,4369774;1,2229698;5,5001842;0,55365685;1,0969347;0,83414898;5,9942017;59707,2;2019
Vermont;22,700571;0;22,700571;6,312585;2,4647661;5,398272;1,2584842;1,8770517;0,61564302;4,7737687;34502,3;2019
Mideast;19,239635;0,00412279;19,235512;4,7400946;1,2842832;4,7290511;1,4057281;1,0919105;0,69404952;5,2903951;3266721,5;2019
Delaware;21,578408;0,00186786;21,57654;4,2494586;2,8814124;4,9864274;1,1428698;1,5397142;0,70251605;6,0741415;53055,3;2019
District of Columbia;25,346324;0;25,346324;5,0387028;0,25022425;6,9537561;1,6380351;1,0378092;1,1164192;9,3113771;58864;2019
Maryland;16,730867;0;16,730867;3,7010485;1,707879;3,5680019;0,62780785;0,95534561;0,75684001;5,4139437;390792,5;2019
New Jersey;15,05246;0,00223664;15,050224;4,5466256;1,1861372;3,0368789;0,88004098;0,81509348;0,57822621;4,0072215;625937,9;2019
New York;21,855799;0;21,855799;5,3635034;1,0263545;5,6743259;1,8341367;1,0142839;0,77101267;6,172182;1395147,5;2019
Pennsylvania;18,523324;0,01611052;18,507214;4,2903278;1,5963966;4,7957013;1,4536886;1,5150565;0,58000512;4,2760379;742924,3;2019
Great Lakes;18,111133;0,00185831;18,109275;3,965635;1,7943298;4,118594;1,4534187;1,091039;0,65155925;5,0346992;2460678,3;2019
Illinois;16,659242;0,00264759;16,656595;3,8785656;1,192264;3,2295664;0,8488745;1,0060804;0,76317491;5,7380687;744640,7;2019
Indiana;18,163659;0,00010833;18,163551;3,5414966;1,9909686;4,5865693;1,8527111;1,0025715;0,47020635;4,7190275;327712,5;2019
Michigan;18,993296;0,00154892;18,991747;3,7995681;2,5743013;3,8653895;2,0584073;1,0719772;0,56405037;5,058053;491631,8;2019
Ohio;19,210596;0,00307473;19,207521;4,4526263;1,6333305;5,0498485;1,5892429;1,0322367;0,69264312;4,7575927;586784;2019
Wisconsin;18,062984;0;18,062984;3,9647187;2,1005313;4,3982981;1,266861;1,5303003;0,63617678;4,1660973;309909,3;2019
Plains;18,207381;0,00535711;18,202024;4,0651884;1,7866277;3,8311817;1,8820503;1,4170251;0,62177612;4,5981742;1146514,6;2019
Iowa;20,191551;0;20,191551;4,3213221;2,3195524;4,041789;2,8899269;1,798267;0,52632142;4,2943725;163638,6;2019
Kansas;18,097452;0,00053647;18,096916;4,2873009;2,1524726;3,0628799;2,9160938;1,0965688;0,60118241;3,9804173;155647,6;2019
Minnesota;18,910805;0,00019289;18,910612;4,1171398;1,4946497;5,1355809;1,0172721;1,5190287;0,71705617;4,9098851;331801,9;2019
Missouri;16,788237;0,00191983;16,786318;3,7156341;1,3559463;3,2915969;2,3902163;0,86748099;0,65990601;4,5055371;298619,8;2019
Nebraska;17,307715;0,0514081;17,256307;4,4359779;2,2884162;2,7530169;1,1502159;1,6516791;0,50337682;4,4736236;105454,2;2019
North Dakota;20,930172;0;20,930172;4,1948256;2,5790702;3,5890509;0,6115549;2,8430152;0,52209591;6,5905595;43614,4;2019
South Dakota;15,252312;0;15,252312;3,3510048;1,6580383;2,5262882;0,66498667;2,0624889;0,4679826;4,5215226;47738,1;2019
Southeast;17,09475;0,000007212;17,094743;3,4608024;1,6204107;3,4556066;2,0588102;1,1007725;0,66502337;4,7333173;4173677,1;2019
Alabama;19,881744;0;19,881744;3,7808712;2,6211034;3,6723025;3,3396033;1,3172161;0,62903178;4,5216162;216449;2019
Arkansas;18,95017;0,00011583;18,950054;4,0885496;2,1050759;5,7652267;1,2289923;1,2508102;0,5365381;3,9748609;134682,7;2019
Florida;15,321913;0;15,321913;2,7101164;1,0738079;2,559675;1,5691676;1,0783942;0,83984586;5,4909062;1125984;2019
Georgia;15,107497;0;15,107497;4,2248553;1,2680698;2,5876171;1,4906548;0,87067331;0,55631833;4,1093088;512137,9;2019
Kentucky;20,368261;0;20,368261;3,9194641;2,0249759;6,04464;1,8101911;1,1493806;0,41977859;4,9998307;195548,8;2019
Louisiana;20,113409;0;20,113409;3,6517414;1,693757;5,7323642;1,7315325;1,0101192;0,72517934;5,5687154;220629,7;2019
Mississippi;22,946792;0;22,946792;4,0546453;2,5978386;5,4598788;3,976445;1,5044468;0,67757408;4,6759637;115814,2;2019
North Carolina;17,929516;0;17,929516;3,2661387;2,1373146;3,1293746;3,2147521;1,3194622;0,69946552;4,1630085;500973,8;2019
South Carolina;19,765641;0;19,765641;4,1777909;1,9671432;3,5442927;3,806736;0,97334968;0,60863421;4,6876948;233948,4;2019
Tennessee;15,496952;0;15,496952;3,1517917;1,1793071;3,8071312;1,6768649;0,81760307;0,67118654;4,1930673;332472,7;2019
Virginia;15,704625;0,00002848;15,704596;3,6250848;1,755741;2,7863505;1,6554096;1,0689937;0,50579525;4,3072215;509201,3;2019
West Virginia;22,01261;0;22,01261;4,0991619;2,1902759;6,372996;1,0032479;2,0278989;0,56109876;5,7579311;75834,6;2019
Southwest;16,669439;0,00202852;16,66741;3,6968345;2,1205224;3,2936878;1,5722007;1,4400305;0,61617637;3,927958;2144764;2019
Arizona;15,770933;0;15,770933;2,8559508;1,9346474;4,7428508;0,48685208;0,83553576;0,76415711;4,1509388;335243,1;2019
New Mexico;24,938962;0;24,938962;4,1884412;3,3024011;6,9620097;2,2199415;1,1127876;0,84635139;6,3070297;90846,9;2019
Oklahoma;16,684974;0,0232251;16,661749;3,586435;2,0305828;3,7570165;1,2975917;1,5086653;0,6001815;3,8812764;187327,5;2019
Texas;16,373651;0;16,373651;3,8652617;2,1021016;2,7021353;1,8049712;1,5833844;0,57208189;3,7437154;1531346,5;2019
Rocky Mountain;17,299329;0,00425124;17,295078;3,4636536;2,0362351;2,9491596;1,5978131;1,2086826;0,60626382;5,43327;680390,1;2019
Colorado;15,764302;0,0005852;15,763716;3,3022999;1,7178259;2,741884;1,0878053;0,92836912;0,6052736;5,3802584;352184,7;2019
Idaho;16,565242;0;16,565242;3,0435492;1,5284607;3,5451366;1,4030206;1,3975415;0,58962926;5,0579037;82148,4;2019
Montana;18,355287;0;18,355287;3,5591728;1,8144542;4,3321302;1,0602073;1,8121125;0,66034269;5,1168673;53168;2019
Utah;19,137418;0,00017209;19,137246;3,7155146;3,0423866;2,751446;2,2948986;1,3857134;0,59369023;5,3535966;156896,3;2019
Wyoming;24,422572;0,0738872;24,348685;4,7623212;2,2524429;2,4360412;4,7882404;1,8573989;0,62884418;7,6233959;35992,7;2019
Far West [2];19,309344;0,08176997;19,227574;3,6732955;1,8300639;4,6612372;2,2370105;0,80548067;0,74276786;5,2777184;3507337,8;2019
California;19,711977;0,10888622;19,60309;3,6082956;1,8874052;5,0898282;2,3010104;0,73359557;0,78999983;5,1929556;2632279,8;2019
Nevada;16,038533;0,00111623;16,037417;3,1416885;1,1493835;2,957665;0,99094259;1,2371552;0,89014981;5,6704323;157583,7;2019
Oregon;22,677628;0;22,677628;4,0634167;2,3286774;5,4090982;2,1465751;1,0309767;0,67458448;7,0242995;224346,4;2019
Washington;16,672952;0;16,672952;4,0126557;1,5146557;2,5776067;2,3347201;0,94866383;0,47456958;4,8100807;493127,9;2019
Alaska;28,095157;0;28,095157;5,1055695;1,6242298;6,0646511;1,5017292;2,8656244;0,83391482;10,099438;45945,1;2019
Hawaii;19,549574;0,00049798;19,549076;2,9685357;1,5707296;3,6612736;1,458194;1,0280998;0,62801311;8,2342304;80726,5;2019
United States ;0,17974158;0,00018389;0,17955769;0,0385635;0,01694843;0,03965511;0,01714734;0,01080931;0,00664735;0,04978665;17839255;2018
New England;15,672155;0,00198854;15,670166;3,6488619;1,1879025;3,8418981;0,73856125;0,85056102;0,5012012;4,90118;1001084,2;2018
Connecticut;12,880555;0;12,880555;3,6452147;1,1907766;1,4542313;0,92857538;0,78998729;0,45864089;4,4131287;267346,2;2018
Maine;18,373485;0;18,373485;4,1154538;1,2286271;5,1346104;0,75578555;1,4992209;0,4765471;5,1632397;65335,2;2018
Massachusetts;16,227488;0;16,227488;3,3557932;1,0972977;4,8176118;0,69687984;0,6998559;0,47392383;5,0861258;494177,3;2018
New Hampshire;13,7018;0;13,7018;3,7025124;1,072026;2,8922609;0,28082395;0,91434042;0,54783045;4,2920056;83199,1;2018
